0.5,6821.0
0.51,8466.0
0.52,8697.0
0.53,8504.0
0.54,8561.0
0.55,8460.0
0.56,8622.0
0.57,8448.0
0.58,8608.0
0.59,8558.0
0.6,8543.0
0.61,8523.0
0.62,8373.0
0.63,9164.0
0.64,8802.0
0.65,9114.0
0.66,8659.0
0.67,8808.0
0.68,8978.0
0.69,9172.0
0.7,8952.0
0.71,8802.0
0.72,9052.0
0.73,9064.0
0.74,9131.0
0.75,8560.0
0.76,8632.0
0.77,8514.0
0.78,8667.0
0.79,8529.0
0.8,8465.0
0.81,8558.0
0.82,8436.0
0.83,9132.0
0.84,8752.0
0.85,8676.0
0.86,8471.0
0.87,8635.0
0.88,8464.0
0.89,8533.0
0.9,8561.0
0.91,8662.0
0.92,8513.0
0.93,8427.0
0.94,8564.0
0.95,8445.0
0.96,8536.0
0.97,8457.0
0.98,8715.0
0.99,8387.0
1.0,8522.0
